Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,0.9550922,0
0.02715385,-0.02888305,-0.01244927,0.000440456,0.7999198,0
0.0543077,-0.0579742,-0.02663875,-0.000377849,0.5284684,0
0.08146154,-0.08503968,-0.04068492,-0.001609838,0.4434643,0
0.1086154,-0.1114216,-0.05326852,-0.001982254,0.3632718,0
0.1357692,-0.1378045,-0.0645072,-0.001105572,0.3632718,0
0.1629231,-0.1635475,-0.07485139,0.000195453,0.4033681,0
0.1900769,-0.1882933,-0.08438747,0.000531929,0.4835606,0
0.2172308,-0.2114966,-0.09372143,-0.000551181,0.4434643,0
0.2443846,-0.2307897,-0.1032774,-0.002452843,0.1980754,1
0.2715385,-0.2449061,-0.1113447,-0.004412378,-0.07778668,0
0.2986923,-0.2553962,-0.1150691,-0.005774882,-0.1980754,0
0.3258462,-0.2603191,-0.1133794,-0.006398891,-0.1579791,0
0.353,-0.255209,-0.1069385,-0.006617473,-0.07778668,0
0.3801539,-0.239923,-0.09509643,-0.006945678,-0.04009622,0
0.4073077,-0.2170979,-0.07708464,-0.00801674,0.002405763,0
0.4344616,-0.188568,-0.05633887,-0.009825639,0.002405763,0
0.4616154,-0.1564218,-0.0383445,-0.01119766,0.03969526,0
0.4887693,-0.123953,-0.02492111,-0.01075105,0.08259821,0
0.5159231,-0.09476344,-0.01442604,-0.008174593,0.08259821,0
0.5430769,-0.07200121,-0.005890604,-0.004255405,0.08259821,0
0.5702308,-0.05713583,0.000266754,-1.09e-05,0.08259821,0
0.5973846,-0.04852428,0.004297469,0.003706374,0.04250205,0
0.6245385,-0.04157905,0.007158199,0.005999858,0.04250205,0
0.6516923,-0.03288085,0.009205161,0.006679079,0.08259821,0
0.6788462,-0.0232933,0.01034166,0.006863518,0.1226945,0
0.706,-0.01385081,0.01073002,0.007454509,-0.03769046,0
0.7331539,-0.003580164,0.01056573,0.007933352,-0.4386528,0
0.7603077,0.006660383,0.009633796,0.007441973,-0.9198076,0
0.7874616,0.01351995,0.007512468,0.005909622,-0.9947875,0
0.8146154,0.01256603,0.004184876,0.003463943,-0.3584603,0
0.8417693,5.55e-17,-6.94e-18,8.67e-18,0.9298316,0
