Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,-0.6923077,0
0.02105089,0.006208216,-0.002708071,-0.000236223,0.2307693,0
0.04210179,0.005636495,-0.01216478,-0.000258223,0.2307693,0
0.06315268,-0.005312189,-0.02831766,-0.001200434,0.2307693,0
0.08420357,-0.02594669,-0.05004558,-0.003975019,0.2307693,0
0.1052545,-0.05117846,-0.07448626,-0.009343307,0.2492307,0
0.1263054,-0.07470235,-0.09805191,-0.01700335,0.2307693,0
0.1473562,-0.09218547,-0.1178405,-0.02469792,0.2307693,0
0.1684071,-0.1029318,-0.1321775,-0.02990691,0.2307693,0
0.189458,-0.1091786,-0.1408963,-0.0319788,0.24,0
0.2105089,-0.1135108,-0.1453477,-0.03168657,0.2307693,0
0.2315598,-0.1173691,-0.1474961,-0.03011153,0.2307693,0
0.2526107,-0.1218496,-0.1486308,-0.02833248,0.24,0
0.2736616,-0.1279521,-0.1490753,-0.02675513,0.2307693,0
0.2947125,-0.1351821,-0.1490153,-0.02495486,0.24,0
0.3157634,-0.1418359,-0.149328,-0.02261454,0.2307693,0
0.3368143,-0.1475718,-0.1514338,-0.02021504,0.2492307,0
0.3578652,-0.1537203,-0.1561566,-0.01864436,0.24,0
0.3789161,-0.1610014,-0.1625006,-0.01797993,0.2307693,0
0.399967,-0.1687708,-0.1677368,-0.01717396,0.24,0
0.4210179,-0.1759385,-0.1693614,-0.01532987,0.2307693,0
0.4420688,-0.1821199,-0.1665624,-0.01275801,0.24,1
0.4631196,-0.1873338,-0.159254,-0.01079017,0.2307693,0
0.4841705,-0.1886462,-0.1479643,-0.01041556,0.2307693,0
0.5052214,-0.1807288,-0.1352314,-0.01085448,0.3846154,0
0.5262723,-0.1627321,-0.1236315,-0.01054516,0.3846154,0
0.5473232,-0.1388808,-0.1126787,-0.009334126,0.3846154,0
0.5683741,-0.1130076,-0.09982076,-0.008331574,0.3846154,0
0.589425,-0.08797064,-0.08298223,-0.007985977,0.07692313,0
0.6104759,-0.06565135,-0.06232347,-0.007173978,0.07692313,0
0.6315268,-0.04544045,-0.04127882,-0.004542657,0.07692313,0
0.6525777,-0.02737728,-0.02432374,-0.000612196,0.4307692,0
0.6736286,-0.01397785,-0.01278097,0.002380561,1,0
0.6946794,-0.005795054,-0.004903793,0.002640527,-0.8461539,0
0.7157304,-5.2e-17,-8.67e-18,1.39e-17,-0.8461539,0
