Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,-0.7769376,0
0.019969,-0.04254698,-0.007888898,0.002586315,-0.004914939,0
0.039938,-0.07628097,-0.01237611,0.002110143,0.5516068,0
0.059907,-0.109304,-0.01694638,-0.003883549,0.6975425,0
0.079876,-0.1435826,-0.02421865,-0.01387763,0.6975425,0
0.099845,-0.1762996,-0.03510831,-0.02522959,0.6975425,0
0.119814,-0.2058933,-0.04890731,-0.03639112,0.7731569,0
0.139783,-0.2330579,-0.06395762,-0.04580127,0.6975425,0
0.159752,-0.2593161,-0.07777467,-0.05116287,0.6975425,0
0.179721,-0.2862024,-0.08676172,-0.05086802,0.6975425,0
0.19969,-0.3131251,-0.08811636,-0.04634039,0.6219282,0
0.219659,-0.3363191,-0.08280215,-0.04195371,0.6219282,0
0.239628,-0.3502052,-0.07464106,-0.04111945,0.6219282,0
0.259597,-0.3493239,-0.06701303,-0.0431043,0.6219282,1
0.279566,-0.3324273,-0.06135901,-0.04481005,0.6219282,0
0.299535,-0.3036974,-0.05704252,-0.04446485,0.5463138,0
0.319504,-0.269136,-0.05295463,-0.04237495,0.5463138,0
0.339473,-0.2359533,-0.04863882,-0.0400363,0.5463138,0
0.359442,-0.2109784,-0.04290513,-0.04011037,0.5463138,0
0.379411,-0.195382,-0.03446836,-0.04498153,0.5463138,0
0.39938,-0.1858175,-0.02439017,-0.05320315,0.5463138,0
0.419349,-0.17979,-0.01550016,-0.0591693,0.6930057,0
0.439318,-0.1741743,-0.009474849,-0.05838247,0.9032136,0
0.459287,-0.1608578,-0.006131215,-0.05131564,1,0
0.479256,-0.1309537,-0.005077436,-0.0413557,0.7406427,0
0.499225,-0.08511804,-0.004866741,-0.03170386,0.4654064,0
0.519194,-0.03626477,-0.002216815,-0.02432871,0.3194706,0
0.539163,0.001895733,0.004132145,-0.01956458,0.2438563,0
0.559132,0.02623099,0.01127203,-0.01630857,0.2438563,0
0.579101,0.03836102,0.01510462,-0.01311223,0.2589792,0
0.59907,0.03633138,0.01345959,-0.009292617,0.05633271,0
0.619039,0.02115429,0.007331282,-0.004962061,-0.6113422,0
0.639008,0,0,0,-1,0
