Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,0.7375408,0
0.03279553,-0.02582666,-0.0190017,0.004092782,0.6082698,0
0.06559105,-0.05468786,-0.0439698,0.008177456,0.6082698,0
0.09838658,-0.07858697,-0.06337373,0.009594,0.6996735,0
0.1311821,-0.09552354,-0.07493266,0.009875461,0.8694233,0
0.1639776,-0.1051095,-0.07875029,0.009086985,0.8258977,0
0.1967732,-0.108558,-0.08102169,0.005324409,0.5003264,0
0.2295687,-0.1067636,-0.08986903,-0.003046414,0.1138194,0
0.2623642,-0.09573871,-0.1058199,-0.01525577,0.02067471,0
0.2951597,-0.07011591,-0.1233626,-0.0279687,0.02546251,0
0.3279552,-0.03578503,-0.1382288,-0.03722364,0.05331886,0
0.3607508,-0.008879438,-0.1451115,-0.041018,0.1529924,0
0.3935463,0.001236324,-0.1340405,-0.0390655,0.1730142,1
0.4263418,0.002260213,-0.1014059,-0.03102124,0.08596301,0
0.4591374,0.009811078,-0.05925865,-0.01903262,0.08596301,0
0.4919329,0.02954444,-0.02291763,-0.009518635,0.05505979,0
0.5247284,0.05093938,-5.22e-05,-0.006675706,-0.9534276,0
0.557524,0.05722534,0.009398855,-0.007777535,-0.9199129,0
0.5903195,0.04381987,0.01181426,-0.007825621,-0.1560392,0
0.623115,0.02203392,0.01038633,-0.004787836,0.5621327,0
0.6559105,0,0,0,0.5882481,0
