Time (sec),Basal FW Strain,Mid FW Strain,Apical FW Strain,ECG Amplitude,End-systolic frame
0,0,0,0,-0.3931888,0
0.018945,-0.001692171,-0.001552733,-0.01463207,-0.1009288,0
0.03789,-0.008021103,-0.006541597,-0.02849507,0.1430341,0
0.056835,-0.01890757,-0.01496834,-0.04262968,0.2879257,0
0.07578,-0.03229934,-0.02544571,-0.05810364,0.2879257,0
0.09472501,-0.04793394,-0.03686828,-0.0753953,0.2879257,0
0.11367,-0.06631159,-0.04916241,-0.09442876,0.2879257,0
0.132615,-0.0847135,-0.06209219,-0.1143583,0.2879257,0
0.15156,-0.09988089,-0.07473978,-0.1341206,0.2879257,0
0.170505,-0.1115271,-0.08684893,-0.1536368,0.2879257,0
0.18945,-0.1191146,-0.09919242,-0.1740483,0.2879257,0
0.208395,-0.1225194,-0.1119796,-0.1961656,0.3436532,0
0.22734,-0.1263019,-0.1243317,-0.2191689,0.3498452,0
0.246285,-0.1345899,-0.1356945,-0.24183,0.4117647,0
0.26523,-0.1457158,-0.1459465,-0.2636774,0.2693498,0
0.284175,-0.1568436,-0.1538505,-0.2831743,0.09473681,0
0.30312,-0.1670988,-0.1574417,-0.2961303,-0.07863778,0
0.322065,-0.1753035,-0.1561733,-0.2974148,-0.1455109,1
0.34101,-0.1804924,-0.1514069,-0.2837379,-0.1739938,0
0.359955,-0.1835726,-0.145009,-0.255884,-0.1455109,0
0.3789,-0.1850999,-0.1379496,-0.2199074,-0.1455109,0
0.397845,-0.1835146,-0.1298737,-0.1838597,-0.08359134,0
0.41679,-0.1770145,-0.1198726,-0.1522871,-0.08359134,0
0.435735,-0.1645682,-0.1077585,-0.1262381,-0.02167183,0
0.45468,-0.145448,-0.09439763,-0.1059184,-0.02167183,0
0.473625,-0.1197505,-0.08099203,-0.0896939,-0.02167183,0
0.49257,-0.08828536,-0.06852102,-0.07456641,-0.02167183,0
0.511515,-0.05350291,-0.05759878,-0.06029702,-0.02167183,0
0.53046,-0.0216816,-0.04866925,-0.04944547,-0.02167183,0
0.549405,0.001065474,-0.04211052,-0.04336579,-0.02167183,0
0.56835,0.01536634,-0.037575,-0.04081407,-0.02167183,0
0.5872951,0.02595028,-0.03401212,-0.03923271,-0.02167183,0
0.60624,0.03441581,-0.03063252,-0.03619452,0.1529412,0
0.625185,0.03882885,-0.02707452,-0.03063671,0.1640867,0
0.6441301,0.03846008,-0.02318786,-0.02320708,0.1393189,0
0.663075,0.03586505,-0.01911479,-0.01535539,0.04024768,0
0.6820201,0.03389409,-0.01505966,-0.008271285,0.04024768,0
0.700965,0.03187601,-0.01076629,-0.002633478,0.04024768,0
0.71991,0.02691519,-0.006011277,0.001181132,0.1021671,0
0.7388551,0.0188853,-0.00198674,0.003238615,0.1021671,0
0.7578,0.01073955,-0.000288045,0.003970671,0.2866873,0
0.776745,0.004293695,-0.00030358,0.003218123,1,0
0.7956901,0,2.43e-17,8.67e-18,-0.9640867,0
